,title,url,price,km,body_type,matic,petrol,location
178,2006 Alfa Romeo Spider JTS Manual,/cars/details/2006-alfa-romeo-spider-jts-manual/SSE-AD-13207211/?Cr=276,"$19,000*","107,658 km",Convertible,Manual,4cyl 2.2L Petrol,NSW
179,2017 Alfa Romeo Giulia Quadrifoglio Auto,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/OAG-AD-20748050/?Cr=277,"$114,830*","23,766 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,ACT
180,2013 Alfa Romeo MiTo Distinctive Auto,/cars/details/2013-alfa-romeo-mito-distinctive-auto/SSE-AD-13162023/?Cr=278,"$14,000*","76,000 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,VIC
181,2009 Alfa Romeo Brera JTS Selespeed Auto,/cars/details/2009-alfa-romeo-brera-jts-selespeed-auto/SSE-AD-7439104/?Cr=279,"$26,900*","80,000 km",Coupe,Automatic,4cyl 2.2L Petrol,NSW
182,2007 Alfa Romeo 159 JTS Ti Auto,/cars/details/2007-alfa-romeo-159-jts-ti-auto/SSE-AD-13012033/?Cr=280,"$14,900*","119,000 km",Sedan,Automatic,6cyl 3.2L Petrol,NSW
183,2016 Alfa Romeo Giulietta Super Auto,/cars/details/2016-alfa-romeo-giulietta-super-auto/OAG-AD-20988417/?Cr=281,"$26,990*","33,818 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,WA
184,2011 Alfa Romeo MiTo Auto MY10,/cars/details/2011-alfa-romeo-mito-auto-my10/SSE-AD-13383669/?Cr=282,"$6,000*","148,500 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,VIC
185,2002 Alfa Romeo Spider Twin Spark Manual,/cars/details/2002-alfa-romeo-spider-twin-spark-manual/SSE-AD-13204552/?Cr=283,"$8,800*","155,000 km",Convertible,Manual,4cyl 2.0L Petrol,NSW
186,2015 Alfa Romeo Giulietta Distinctive Auto,/cars/details/2015-alfa-romeo-giulietta-distinctive-auto/OAG-AD-20494500/?Cr=284,"$19,888*","38,488 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,NSW
187,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-21000614/?Cr=285,"$95,700",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,WA
188,2017 Alfa Romeo Giulia Veloce Auto,/cars/details/2017-alfa-romeo-giulia-veloce-auto/SSE-AD-13189971/?Cr=286,"$46,500*","70,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
189,2015 Alfa Romeo 4C Launch Edition Auto,/cars/details/2015-alfa-romeo-4c-launch-edition-auto/SSE-AD-12938496/?Cr=288,"$149,960*",500 km,Coupe,Automatic,4cyl 1.7L Turbo Petrol,VIC
190,2018 Alfa Romeo Giulia Veloce Auto,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-13208934/?Cr=289,"$49,000*","64,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,NSW
191,1984 Alfa Romeo Alfetta GTV Manual,/cars/details/1984-alfa-romeo-alfetta-gtv-manual/OAG-AD-20921297/?Cr=290,"$42,888*","60,321 km",Coupe,Manual,4cyl 2.0L Petrol,VIC
192,2021 Alfa Romeo Stelvio Sport Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-sport-auto-awd-my21/OAG-AD-19922794/?Cr=291,"$69,888","11,921 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
193,2010 Alfa Romeo 159 JTD Auto MY09,/cars/details/2010-alfa-romeo-159-jtd-auto-my09/SSE-AD-13301969/?Cr=292,"$11,900*","117,000 km",Sedan,Automatic,5cyl 2.4L Turbo Diesel,NSW
194,2019 Alfa Romeo Giulia Veloce Auto MY19,/cars/details/2019-alfa-romeo-giulia-veloce-auto-my19/SSE-AD-13376599/?Cr=293,"$55,700*","61,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
195,2015 Alfa Romeo 4C Auto,/cars/details/2015-alfa-romeo-4c-auto/OAG-AD-20436389/?Cr=294,"$95,000*","8,544 km",Coupe,Automatic,4cyl 1.7L Turbo Petrol,WA
196,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20931850/?Cr=295,"$94,888",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
197,2007 Alfa Romeo 159 JTS Manual,/cars/details/2007-alfa-romeo-159-jts-manual/SSE-AD-13370392/?Cr=296,"$16,000*","159,597 km",Sedan,Manual,6cyl 3.2L Petrol,NSW
198,2006 Alfa Romeo Brera V6 Manual,/cars/details/2006-alfa-romeo-brera-v6-manual/SSE-AD-12264356/?Cr=297,"$38,990*","127,781 km",Coupe,Manual,6cyl 3.2L Petrol,NSW
199,2017 Alfa Romeo Giulietta Super Manual,/cars/details/2017-alfa-romeo-giulietta-super-manual/OAG-AD-20708756/?Cr=300,"$19,990","74,772 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,VIC
200,2020 Alfa Romeo Giulia Veloce Auto MY20,/cars/details/2020-alfa-romeo-giulia-veloce-auto-my20/SSE-AD-12749493/?Cr=301,"$62,900*","25,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
201,2007 Alfa Romeo 159 JTD Auto,/cars/details/2007-alfa-romeo-159-jtd-auto/SSE-AD-12128817/?Cr=302,"$25,000*","38,435 km",Sedan,Automatic,4cyl 1.9L Turbo Diesel,VIC
202,2015 Alfa Romeo Giulietta Quadrifoglio Verde Auto,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-7374744/?Cr=303,"$26,990*","40,000 km",Hatch,Automatic,4cyl 1.8L Turbo Petrol,NSW
203,2021 Alfa Romeo Stelvio Sport Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-sport-auto-awd-my21/OAG-AD-20567357/?Cr=304,"$77,500*","1,051 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
204,2018 Alfa Romeo Giulia Veloce Auto,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-13215690/?Cr=305,"$49,999*","54,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,NSW
205,2014 Alfa Romeo Giulietta Distinctive JTD-M Auto,/cars/details/2014-alfa-romeo-giulietta-distinctive-jtd-m-auto/SSE-AD-13372262/?Cr=306,"$16,999*","122,000 km",Hatch,Automatic,4cyl 2.0L Turbo Diesel,VIC
206,2007 Alfa Romeo GT JTS Manual,/cars/details/2007-alfa-romeo-gt-jts-manual/SSE-AD-12766635/?Cr=307,"$8,000*","72,620 km",Coupe,Manual,4cyl 2.0L Petrol,NSW
207,2013 Alfa Romeo Giulietta Progression Auto MY13,/cars/details/2013-alfa-romeo-giulietta-progression-auto-my13/SSE-AD-13371513/?Cr=308,"$14,500*","36,016 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,QLD
208,2022 Alfa Romeo Giulia Veloce Auto MY22,/cars/details/2022-alfa-romeo-giulia-veloce-auto-my22/OAG-AD-20955731/?Cr=309,Enquire for price*,Build date Apr 2022,Sedan,Automatic,4cyl 2.0L Turbo Petrol,NSW
209,2011 Alfa Romeo Giulietta Distinctive Manual,/cars/details/2011-alfa-romeo-giulietta-distinctive-manual/SSE-AD-7420001/?Cr=310,"$9,999*","154,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,WA
210,1998 Alfa Romeo GTV V6 Manual,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-13369935/?Cr=312,"$16,000*","193,000 km",Coupe,Manual,6cyl 3.0L Petrol,TAS
211,2017 Alfa Romeo Giulia Veloce Auto,/cars/details/2017-alfa-romeo-giulia-veloce-auto/OAG-AD-20945702/?Cr=313,"$54,888","19,254 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
212,2021 Alfa Romeo Giulia Veloce Auto MY21,/cars/details/2021-alfa-romeo-giulia-veloce-auto-my21/OAG-AD-20926162/?Cr=314,"$72,990","10,733 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
213,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20985873/?Cr=315,"$97,756",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,ACT
214,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20933859/?Cr=316,"$96,888",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
215,2014 Alfa Romeo Giulietta Quadrifoglio Verde Auto,/cars/details/2014-alfa-romeo-giulietta-quadrifoglio-verde-auto/OAG-AD-20956266/?Cr=317,"$25,830*","85,929 km",Hatch,Automatic,4cyl 1.8L Turbo Petrol,NSW
216,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20931309/?Cr=318,"$98,888",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
217,2007 Alfa Romeo 159 JTD Auto,/cars/details/2007-alfa-romeo-159-jtd-auto/OAG-AD-20689680/?Cr=324,"$8,990*","158,500 km",Sedan,Automatic,5cyl 2.4L Turbo Diesel,NSW
218,2001 Alfa Romeo GTV V6 Manual,/cars/details/2001-alfa-romeo-gtv-v6-manual/SSE-AD-12228580/?Cr=325,"$22,000*","141,500 km",Coupe,Manual,6cyl 3.0L Petrol,TAS
219,2009 Alfa Romeo Spider JTS Selespeed Auto,/cars/details/2009-alfa-romeo-spider-jts-selespeed-auto/SSE-AD-12665979/?Cr=326,"$25,000*","88,000 km",Convertible,Automatic,4cyl 2.2L Petrol,NSW
220,2013 Alfa Romeo Giulietta Progression Manual MY13,/cars/details/2013-alfa-romeo-giulietta-progression-manual-my13/OAG-AD-20962091/?Cr=327,"$12,999*","115,545 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,NSW
221,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20956128/?Cr=328,"$96,888",20 km,SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
222,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20985875/?Cr=329,"$94,995",Build date May 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
223,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20935722/?Cr=330,"$98,888",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,SA
224,2017 Alfa Romeo Giulia Auto,/cars/details/2017-alfa-romeo-giulia-auto/OAG-AD-20953252/?Cr=331,"$43,990","54,022 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
225,2017 Alfa Romeo Stelvio First Edition Auto AWD,/cars/details/2017-alfa-romeo-stelvio-first-edition-auto-awd/OAG-AD-20839435/?Cr=336,"$49,990","88,188 km",SUV,Automatic,4cyl 2.2L Turbo Diesel,VIC
226,1989 Alfa Romeo Alfa 75 Twin Spark Manual,/cars/details/1989-alfa-romeo-alfa-75-twin-spark-manual/SSE-AD-13362966/?Cr=337,"$28,990*","265,270 km",Sedan,Manual,4cyl 2.0L Petrol,VIC
227,2019 Alfa Romeo Stelvio Quadrifoglio Auto AWD,/cars/details/2019-alfa-romeo-stelvio-quadrifoglio-auto-awd/OAG-AD-20893560/?Cr=338,"$139,990","28,563 km",SUV,Automatic,6cyl 2.9L Turbo Petrol,VIC
228,1977 Alfa Romeo Spider 2000 Veloce Manual,/cars/details/1977-alfa-romeo-spider-2000-veloce-manual/SSE-AD-13101921/?Cr=339,"$42,000*","21,856 km",Convertible,Manual,4cyl 2.0L Petrol,WA
229,2013 Alfa Romeo Giulietta Progression Manual MY13,/cars/details/2013-alfa-romeo-giulietta-progression-manual-my13/SSE-AD-13329106/?Cr=340,"$16,000*","41,158 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,TAS
230,2019 Alfa Romeo Stelvio Quadrifoglio Auto AWD,/cars/details/2019-alfa-romeo-stelvio-quadrifoglio-auto-awd/SSE-AD-13197039/?Cr=341,"$119,999*","9,500 km",SUV,Automatic,6cyl 2.9L Turbo Petrol,VIC
231,2014 Alfa Romeo Giulietta Distinctive Auto,/cars/details/2014-alfa-romeo-giulietta-distinctive-auto/OAG-AD-20934907/?Cr=342,"$17,990*","88,226 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,SA
232,2019 Alfa Romeo Stelvio Quadrifoglio Auto AWD,/cars/details/2019-alfa-romeo-stelvio-quadrifoglio-auto-awd/OAG-AD-20792631/?Cr=343,"$115,888*","19,164 km",SUV,Automatic,6cyl 2.9L Turbo Petrol,NSW
233,2018 Alfa Romeo Giulia Quadrifoglio Auto,/cars/details/2018-alfa-romeo-giulia-quadrifoglio-auto/SSE-AD-13271603/?Cr=344,"$107,999*","14,900 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,NSW
234,2022 Alfa Romeo Giulia Quadrifoglio Auto MY22,/cars/details/2022-alfa-romeo-giulia-quadrifoglio-auto-my22/OAG-AD-20955394/?Cr=345,"$160,256",Build date Mar 2022,Sedan,Automatic,6cyl 2.9L Turbo Petrol,NSW
235,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20935039/?Cr=348,"$98,888",Build date May 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,SA
236,2003 Alfa Romeo Spider Twin Spark Veloce Manual,/cars/details/2003-alfa-romeo-spider-twin-spark-veloce-manual/OAG-AD-20748860/?Cr=349,"$13,990*","140,912 km",Convertible,Manual,4cyl 2.0L Petrol,NSW
237,2001 Alfa Romeo Spider Twin Spark Luxury Manual,/cars/details/2001-alfa-romeo-spider-twin-spark-luxury-manual/SSE-AD-12682851/?Cr=350,"$16,750*","134,000 km",Convertible,Manual,4cyl 2.0L Petrol,SA
238,1991 Alfa Romeo SZ Zagato Manual,/cars/details/1991-alfa-romeo-sz-zagato-manual/OAG-AD-20714457/?Cr=351,"$149,000*","49,500 km",Coupe,Manual,6cyl 3.0L Petrol,NSW
239,2011 Alfa Romeo 159 1750 TBi Ti Manual,/cars/details/2011-alfa-romeo-159-1750-tbi-ti-manual/SSE-AD-13351572/?Cr=352,"$19,800*","83,000 km",Sedan,Manual,4cyl 1.7L Turbo Petrol,VIC
240,2019 Alfa Romeo Giulia Super Auto MY19,/cars/details/2019-alfa-romeo-giulia-super-auto-my19/SSE-AD-12861893/?Cr=353,"$35,000*","99,700 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,ACT
241,2021 Alfa Romeo Stelvio Sport Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-sport-auto-awd-my21/OAG-AD-20495036/?Cr=354,"$67,990","1,288 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
242,2021 Alfa Romeo Stelvio Quadrifoglio Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-quadrifoglio-auto-awd-my21/OAG-AD-20377182/?Cr=355,"$172,485",Build date Sep 2021,SUV,Automatic,6cyl 2.9L Turbo Petrol,ACT
243,2014 Alfa Romeo Giulietta Distinctive Manual,/cars/details/2014-alfa-romeo-giulietta-distinctive-manual/SSE-AD-13294339/?Cr=356,"$11,000*","86,000 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,QLD
244,2021 Alfa Romeo Stelvio Veloce Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-veloce-auto-awd-my21/OAG-AD-20728608/?Cr=357,"$83,830*","2,100 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
245,2004 Alfa Romeo 147 GTA Manual,/cars/details/2004-alfa-romeo-147-gta-manual/SSE-AD-7432304/?Cr=360,"$23,000*","132,000 km",Hatch,Manual,6cyl 3.2L Petrol,NSW
246,2009 Alfa Romeo Brera JTS Italia Independent Manual,/cars/details/2009-alfa-romeo-brera-jts-italia-independent-manual/SSE-AD-12210056/?Cr=361,"$45,000*","34,445 km",Coupe,Manual,4cyl 2.2L Petrol,QLD
247,1982 Alfa Romeo Alfasud Super Manual,/cars/details/1982-alfa-romeo-alfasud-super-manual/SSE-AD-7321011/?Cr=362,"$25,500*","1,350 km",Sedan,Manual,4cyl 1.5L Petrol,NSW
248,2017 Alfa Romeo Giulia Veloce Auto,/cars/details/2017-alfa-romeo-giulia-veloce-auto/SSE-AD-12821226/?Cr=363,"$52,190*","59,000 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,ACT
249,2021 Alfa Romeo Stelvio Quadrifoglio Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-quadrifoglio-auto-awd-my21/OAG-AD-20461859/?Cr=364,"$164,990",911 km,SUV,Automatic,6cyl 2.9L Turbo Petrol,ACT
250,1967 Alfa Romeo Giulia Super Manual,/cars/details/1967-alfa-romeo-giulia-super-manual/OAG-AD-20306590/?Cr=365,"$64,990*","11,888 km",Sedan,Manual,4cyl 1600L Petrol,VIC
251,1974 Alfa Romeo 2000 GT Veloce Manual,/cars/details/1974-alfa-romeo-2000-gt-veloce-manual/SSE-AD-12726087/?Cr=366,"$62,500*","36,274 km",Coupe,Manual,4cyl 2000L Petrol,VIC
252,2018 Alfa Romeo Giulia Auto,/cars/details/2018-alfa-romeo-giulia-auto/SSE-AD-13356579/?Cr=367,"$36,500*","60,900 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,WA
253,2001 Alfa Romeo 156 Sport Selespeed Auto MY01,/cars/details/2001-alfa-romeo-156-sport-selespeed-auto-my01/SSE-AD-6683360/?Cr=368,"$4,950*","223,000 km",Sedan,Automatic,4cyl 2.0L Petrol,VIC
254,2013 Alfa Romeo Giulietta Distinctive Manual MY12,/cars/details/2013-alfa-romeo-giulietta-distinctive-manual-my12/SSE-AD-13023413/?Cr=369,"$14,950*","85,550 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,NSW
255,2021 Alfa Romeo Stelvio Sport Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-sport-auto-awd-my21/OAG-AD-20567176/?Cr=370,"$68,875","3,166 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,ACT
