,id,year,brand,model,description,price,odometer,bodytype,cylinder,volume,turbo,fueltype,hybrid,electric,state,url
321,SSE-AD-12950078,2017,alfa romeo,giulia,super auto,55000,76000.0,sedan,4,2.0,True,petrol,False,False,QLD,/cars/details/2017-alfa-romeo-giulia-super-auto/SSE-AD-12950078/?Cr=437
322,SSE-AD-12791226,1998,alfa romeo,gtv,v6 manual,15000,247000.0,coupe,6,3.0,False,petrol,False,False,WA,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-12791226/?Cr=438
323,SSE-AD-13274386,1990,alfa romeo,alfa,33 boxer manual,8300,215000.0,hatch,4,1.7,False,petrol,False,False,NSW,/cars/details/1990-alfa-romeo-alfa-33-boxer-manual/SSE-AD-13274386/?Cr=439
324,SSE-AD-13272229,2012,alfa romeo,giulietta,qv manual,14500,86068.0,hatch,4,1.7,True,petrol,False,False,NSW,/cars/details/2012-alfa-romeo-giulietta-qv-manual/SSE-AD-13272229/?Cr=440
325,SSE-AD-12721408,2012,alfa romeo,159,jts ti auto my09,39950,48000.0,sedan,6,3.2,False,petrol,False,False,NSW,/cars/details/2012-alfa-romeo-159-jts-ti-auto-my09/SSE-AD-12721408/?Cr=441
326,SSE-AD-13229528,2011,alfa romeo,159,1750 tbi ti manual,22000,97000.0,sedan,4,1.7,True,petrol,False,False,VIC,/cars/details/2011-alfa-romeo-159-1750-tbi-ti-manual/SSE-AD-13229528/?Cr=442
327,SSE-AD-12940199,2004,alfa romeo,gt,manual,15500,181000.0,coupe,6,3.2,False,petrol,False,False,QLD,/cars/details/2004-alfa-romeo-gt-manual/SSE-AD-12940199/?Cr=443
328,SSE-AD-12003329,1999,alfa romeo,gtv,v6 manual,24000,159000.0,coupe,6,3.0,False,petrol,False,False,VIC,/cars/details/1999-alfa-romeo-gtv-v6-manual/SSE-AD-12003329/?Cr=444
329,SSE-AD-12978381,2020,alfa romeo,giulia,veloce auto my20,55000,12000.0,sedan,4,2.0,True,petrol,False,False,VIC,/cars/details/2020-alfa-romeo-giulia-veloce-auto-my20/SSE-AD-12978381/?Cr=445
330,SSE-AD-13263647,2014,alfa romeo,giulietta,progression auto,10900,74000.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2014-alfa-romeo-giulietta-progression-auto/SSE-AD-13263647/?Cr=446
331,SSE-AD-12606648,2004,alfa romeo,156,jts manual my04,5600,272000.0,sedan,4,2.0,False,petrol,False,False,VIC,/cars/details/2004-alfa-romeo-156-jts-manual-my04/SSE-AD-12606648/?Cr=447
332,SSE-AD-13135903,2017,alfa romeo,giulia,quadrifoglio auto,110000,29009.0,sedan,6,2.9,True,petrol,False,False,NSW,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/SSE-AD-13135903/?Cr=448
333,SSE-AD-12433260,2004,alfa romeo,156,v6 auto my04,9500,122311.0,sedan,6,2.5,False,petrol,False,False,NSW,/cars/details/2004-alfa-romeo-156-v6-auto-my04/SSE-AD-12433260/?Cr=449
334,SSE-AD-12785158,2007,alfa romeo,159,jtd auto,7888,143000.0,sedan,4,1.9,True,diesel,False,False,ACT,/cars/details/2007-alfa-romeo-159-jtd-auto/SSE-AD-12785158/?Cr=450
335,SSE-AD-13216151,2004,alfa romeo,147,gta manual,35000,67000.0,hatch,6,3.2,False,petrol,False,False,QLD,/cars/details/2004-alfa-romeo-147-gta-manual/SSE-AD-13216151/?Cr=451
336,SSE-AD-12633795,2004,alfa romeo,spider,jts manual my04,10500,111400.0,convertible,4,2.0,False,petrol,False,False,NSW,/cars/details/2004-alfa-romeo-spider-jts-manual-my04/SSE-AD-12633795/?Cr=452
337,SSE-AD-12776663,2009,alfa romeo,gt,jts manual,10000,145754.0,coupe,4,2.0,False,petrol,False,False,VIC,/cars/details/2009-alfa-romeo-gt-jts-manual/SSE-AD-12776663/?Cr=453
338,SSE-AD-13216391,2011,alfa romeo,brera,1750 tbi manual my11,45000,43594.0,coupe,4,1.7,True,petrol,False,False,NSW,/cars/details/2011-alfa-romeo-brera-1750-tbi-manual-my11/SSE-AD-13216391/?Cr=454
339,SSE-AD-12825300,2018,alfa romeo,giulia,veloce auto,60000,13735.0,sedan,4,2.0,True,petrol,False,False,VIC,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-12825300/?Cr=455
